# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 897K of event 'cycles'
# Event count (approx.): 95051495853802
#
# Children      Self  Command          Shared Object               Symbol                                                 
# ........  ........  ...............  ..........................  .......................................................
#
     0.00%     0.00%  iou-wrk-3080     [kernel.vmlinux]            [k] __enqueue_entity
     0.00%     0.00%  iou-wrk-3134     [kernel.vmlinux]            [k] bio_associate_blkg
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]            [k] ktime_get
     0.00%     0.00%  iou-wrk-3079     [kernel.vmlinux]            [k] kmem_cache_alloc
     0.00%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] __count_memcg_events
     0.00%     0.00%  iou-wrk-3075     [kernel.vmlinux]            [k] io_clean_op
     0.00%     0.00%  iou-wrk-3136     [kernel.vmlinux]            [k] __count_memcg_events
     0.00%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] __update_load_avg_se
     0.00%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3082     [kernel.vmlinux]            [k] __mem_cgroup_uncharge_list
     0.00%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] alloc_pages
     0.00%     0.00%  iou-wrk-3089     [kernel.vmlinux]            [k] force_page_cache_ra
     0.00%     0.00%  iou-wrk-3128     [libnvdimm]                 [k] to_nd_region
     0.00%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] blk_cgroup_bio_start
     0.00%     0.00%  iou-wrk-3084     [kernel.vmlinux]            [k] lock_timer_base
     0.00%     0.00%  iou-wrk-3081     [kernel.vmlinux]            [k] alloc_pages
     0.00%     0.00%  iou-wrk-3124     [kernel.vmlinux]            [k] rcu_read_unlock_strict
     0.00%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] update_rq_clock
     0.00%     0.00%  iou-wrk-3081     [kernel.vmlinux]            [k] release_pages
     0.00%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3129     [kernel.vmlinux]            [k] mem_cgroup_update_lru_size
     0.00%     0.00%  iou-wrk-3069     [kernel.vmlinux]            [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] __mod_zone_page_state
     0.00%     0.00%  iou-wrk-3132     [kernel.vmlinux]            [k] free_unref_page_prepare.part.0
     0.00%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] try_charge_memcg
     0.00%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] scheduler_tick
     0.00%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] update_cfs_group
     0.00%     0.00%  iou-wrk-3120     [kernel.vmlinux]            [k] _raw_read_lock
     0.00%     0.00%  iou-wrk-3069     [kernel.vmlinux]            [k] __mem_cgroup_uncharge_list
     0.00%     0.00%  iou-wrk-3076     [kernel.vmlinux]            [k] kmem_cache_free
     0.00%     0.00%  iou-wrk-3081     [kernel.vmlinux]            [k] rcu_read_unlock_strict
     0.00%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] put_prev_entity
     0.00%     0.00%  iou-wrk-3069     [kernel.vmlinux]            [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] page_cache_sync_ra
     0.00%     0.00%  iou-wrk-3127     [kernel.vmlinux]            [k] rb_erase
     0.00%     0.00%  iou-wrk-3084     [kernel.vmlinux]            [k] unlock_page
     0.00%     0.00%  iou-wrk-3120     [kernel.vmlinux]            [k] __enqueue_entity
     0.00%     0.00%  iou-wrk-3108     [kernel.vmlinux]            [k] __update_load_avg_se
     0.00%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] lock_timer_base
     0.00%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] _raw_read_lock
     0.00%     0.00%  iou-wrk-3086     [kernel.vmlinux]            [k] ktime_get
     0.00%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] put_prev_entity
     0.00%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] current_time
     0.00%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] __count_memcg_events
     0.00%     0.00%  iou-wrk-3075     [kernel.vmlinux]            [k] kmem_cache_alloc
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]            [k] put_prev_entity
     0.00%     0.00%  iou-wrk-3138     [kernel.vmlinux]            [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] page_cache_sync_ra
     0.00%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] __mem_cgroup_uncharge_list
     0.00%     0.00%  iou-wrk-3082     [kernel.vmlinux]            [k] __radix_tree_lookup
     0.00%     0.00%  iou-wrk-3069     [kernel.vmlinux]            [k] __radix_tree_lookup
     0.00%     0.00%  iou-wrk-3130     [kernel.vmlinux]            [k] iterate_groups.isra.0
     0.00%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] _raw_read_lock
     0.00%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-3127     [kernel.vmlinux]            [k] __update_load_avg_se
     0.00%     0.00%  iou-wrk-3131     [kernel.vmlinux]            [k] __count_memcg_events
     0.00%     0.00%  iou-wrk-3067     [kernel.vmlinux]            [k] page_mapping
     0.00%     0.00%  iou-wrk-3072     [kernel.vmlinux]            [k] del_timer_sync
     0.00%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] __mem_cgroup_uncharge_list
     0.00%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] enqueue_entity
     0.00%     0.00%  iou-wrk-3084     [kernel.vmlinux]            [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] __update_load_avg_cfs_rq
     0.00%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] down_read
     0.00%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] perf_event_task_tick
     0.00%     0.00%  iou-wrk-3108     [kernel.vmlinux]            [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3087     [kernel.vmlinux]            [k] __zone_watermark_ok
     0.00%     0.00%  iou-wrk-3066     [kernel.vmlinux]            [k] switch_mm_irqs_off
     0.00%     0.00%  iou-wrk-3105     [kernel.vmlinux]            [k] __update_load_avg_se
     0.00%     0.00%  iou-wrk-3130     [kernel.vmlinux]            [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3069     [kernel.vmlinux]            [k] release_pages
     0.00%     0.00%  iou-wrk-3076     [kernel.vmlinux]            [k] reweight_entity
     0.00%     0.00%  iou-wrk-3125     [kernel.vmlinux]            [k] enqueue_entity
     0.00%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] alloc_pages
     0.00%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] bio_uninit
     0.00%     0.00%  iou-wrk-3125     [kernel.vmlinux]            [k] del_timer_sync
     0.00%     0.00%  iou-wrk-3086     [kernel.vmlinux]            [k] kmem_cache_alloc
     0.00%     0.00%  iou-wrk-3085     [kernel.vmlinux]            [k] page_mapping
     0.00%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] __update_load_avg_cfs_rq
     0.00%     0.00%  iou-wrk-3084     [kernel.vmlinux]            [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] __switch_to
     0.00%     0.00%  iou-wrk-3135     [kernel.vmlinux]            [k] __mem_cgroup_uncharge_list
     0.00%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] page_mapping
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]            [k] enqueue_entity
     0.00%     0.00%  iou-wrk-3089     [kernel.vmlinux]            [k] native_sched_clock
     0.00%     0.00%  iou-wrk-3089     [kernel.vmlinux]            [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-3081     [kernel.vmlinux]            [k] try_charge_memcg
     0.00%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] fput_many
     0.00%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] alloc_pages
     0.00%     0.00%  iou-wrk-3072     [kernel.vmlinux]            [k] release_pages
     0.00%     0.00%  iou-wrk-3087     [kernel.vmlinux]            [k] __mod_zone_page_state
     0.00%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] __update_load_avg_cfs_rq
     0.00%     0.00%  iou-wrk-3086     [kernel.vmlinux]            [k] release_pages
     0.00%     0.00%  iou-wrk-3065     [kernel.vmlinux]            [k] kmem_cache_free
     0.00%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3087     [kernel.vmlinux]            [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3066     [kernel.vmlinux]            [k] update_cfs_group
     0.00%     0.00%  iou-wrk-3066     [kernel.vmlinux]            [k] enqueue_task_fair
     0.00%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] switch_mm_irqs_off
     0.00%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] raw_spin_rq_lock_nested
     0.00%     0.00%  iou-wrk-3076     [kernel.vmlinux]            [k] bio_endio
     0.00%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] ktime_get
     0.00%     0.00%  iou-wrk-3066     [kernel.vmlinux]            [k] fput_many
     0.00%     0.00%  iou-wrk-3085     [kernel.vmlinux]            [k] select_task_rq_fair
     0.00%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] __switch_to
     0.00%     0.00%  iou-wrk-3125     [kernel.vmlinux]            [k] current_time
     0.00%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] __update_load_avg_cfs_rq
     0.00%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] try_charge_memcg
     0.00%     0.00%  iou-wrk-3081     [kernel.vmlinux]            [k] reweight_entity
     0.00%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] raw_spin_rq_lock_nested.constprop.0
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]            [k] page_mapping
     0.00%     0.00%  fio              [kernel.vmlinux]            [k] sched_slice
     0.00%     0.00%  iou-wrk-3062     [kernel.vmlinux]            [k] ktime_get
     0.00%     0.00%  iou-wrk-3129     [kernel.vmlinux]            [k] iterate_groups.isra.0
     0.00%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] __count_memcg_events
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]            [k] __update_load_avg_cfs_rq
     0.00%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] fput_many
     0.00%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] raw_spin_rq_lock_nested.constprop.0
     0.00%     0.00%  iou-wrk-3073     [kernel.vmlinux]            [k] iterate_groups.isra.0
     0.00%     0.00%  iou-wrk-3086     [kernel.vmlinux]            [k] __mod_zone_page_state
     0.00%     0.00%  iou-wrk-3139     [kernel.vmlinux]            [k] bio_endio
     0.00%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] native_sched_clock
     0.00%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-3136     [kernel.vmlinux]            [k] kmem_cache_alloc
     0.00%     0.00%  iou-wrk-3087     [kernel.vmlinux]            [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3082     [kernel.vmlinux]            [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3120     [kernel.vmlinux]            [k] ktime_get
     0.00%     0.00%  iou-wrk-3080     [kernel.vmlinux]            [k] rcu_read_unlock_strict
     0.00%     0.00%  iou-wrk-3116     [libnvdimm]                 [k] to_nd_region
     0.00%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] release_pages
     0.00%     0.00%  iou-wrk-3116     [kernel.vmlinux]            [k] fput_many
     0.00%     0.00%  iou-wrk-3076     [kernel.vmlinux]            [k] kmem_cache_alloc
     0.00%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] rcu_all_qs
     0.00%     0.00%  iou-wrk-3076     [kernel.vmlinux]            [k] bio_associate_blkg_from_css
     0.00%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] dequeue_entity
     0.00%     0.00%  iou-wrk-3132     [kernel.vmlinux]            [k] rcu_read_unlock_strict
     0.00%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] __radix_tree_lookup
     0.00%     0.00%  iou-wrk-3063     [kernel.vmlinux]            [k] free_unref_page_prepare.part.0
     0.00%     0.00%  iou-wrk-3075     [kernel.vmlinux]            [k] task_tick_fair
     0.00%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] wake_all_kswapds
     0.00%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] put_prev_entity
     0.00%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] __radix_tree_lookup
     0.00%     0.00%  iou-wrk-3063     [kernel.vmlinux]            [k] __mod_zone_page_state
     0.00%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] _raw_read_lock
     0.00%     0.00%  iou-wrk-3132     [kernel.vmlinux]            [k] del_timer_sync
     0.00%     0.00%  iou-wrk-3132     [kernel.vmlinux]            [k] try_to_del_timer_sync
     0.00%     0.00%  iou-wrk-3068     [kernel.vmlinux]            [k] kmem_cache_alloc
     0.00%     0.00%  iou-wrk-3136     [kernel.vmlinux]            [k] workingset_update_node
     0.00%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] xas_start
     0.00%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] current_time
     0.00%     0.00%  iou-wrk-3062     [kernel.vmlinux]            [k] __enqueue_entity
     0.00%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] ktime_get
     0.00%     0.00%  iou-wrk-3076     [kernel.vmlinux]            [k] enqueue_timer
     0.00%     0.00%  iou-wrk-3138     [kernel.vmlinux]            [k] rcu_all_qs
     0.00%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] rcu_read_unlock_strict
     0.00%     0.00%  iou-wrk-3091     [kernel.vmlinux]            [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] lock_timer_base
     0.00%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] raw_spin_rq_lock_nested
     0.00%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] ktime_get
     0.00%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] internal_add_timer
     0.00%     0.00%  iou-wrk-3075     [kernel.vmlinux]            [k] page_counter_try_charge
     0.00%     0.00%  iou-wrk-3131     [kernel.vmlinux]            [k] blk_try_enter_queue
     0.00%     0.00%  iou-wrk-3074     [kernel.vmlinux]            [k] alloc_pages
     0.00%     0.00%  iou-wrk-3116     [kernel.vmlinux]            [k] down_read
     0.00%     0.00%  iou-wrk-3081     [kernel.vmlinux]            [k] __switch_to_asm
     0.00%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] alloc_pages
     0.00%     0.00%  iou-wrk-3120     [kernel.vmlinux]            [k] put_prev_entity
     0.00%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] alloc_pages
     0.00%     0.00%  iou-wrk-3134     [kernel.vmlinux]            [k] force_page_cache_ra
     0.00%     0.00%  iou-wrk-3070     [kernel.vmlinux]            [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-3063     [kernel.vmlinux]            [k] io_clean_op
     0.00%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] select_task_rq_fair
     0.00%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3116     [kernel.vmlinux]            [k] try_charge_memcg
     0.00%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] update_rq_clock
     0.00%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] _find_next_bit
     0.00%     0.00%  iou-wrk-3081     [kernel.vmlinux]            [k] xas_start
     0.00%     0.00%  iou-wrk-3132     [kernel.vmlinux]            [k] __count_memcg_events
     0.00%     0.00%  iou-wrk-3141     [kernel.vmlinux]            [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] page_counter_try_charge
     0.00%     0.00%  iou-wrk-3085     [kernel.vmlinux]            [k] fput_many
     0.00%     0.00%  iou-wrk-3117     [kernel.vmlinux]            [k] del_timer_sync
     0.00%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] native_sched_clock
     0.00%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] force_page_cache_ra
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]            [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-3111     [kernel.vmlinux]            [k] __zone_watermark_ok
     0.00%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] __enqueue_entity
     0.00%     0.00%  iou-wrk-3140     [kernel.vmlinux]            [k] xas_start
     0.00%     0.00%  iou-wrk-3120     [kernel.vmlinux]            [k] sched_clock_cpu
     0.00%     0.00%  iou-wrk-3072     [kernel.vmlinux]            [k] bio_endio
     0.00%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] release_pages
     0.00%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] __switch_to_asm
     0.00%     0.00%  iou-wrk-3136     [kernel.vmlinux]            [k] page_cache_sync_ra
     0.00%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] up_read
     0.00%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] page_mapping
     0.00%     0.00%  iou-wrk-3112     [kernel.vmlinux]            [k] ext4_file_read_iter
     0.00%     0.00%  iou-wrk-3062     [kernel.vmlinux]            [k] xas_find_conflict
     0.00%     0.00%  iou-wrk-3070     [kernel.vmlinux]            [k] put_prev_entity
