# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 65408539148108
#
# Children      Self  Command          Shared Object         Symbol                                     
# ........  ........  ...............  ....................  ...........................................
#
     0.01%     0.00%  iou-wrk-3272     [kernel.vmlinux]      [k] security_file_permission
     0.01%     0.00%  iou-wrk-3343     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.00%  iou-wrk-3305     [kernel.vmlinux]      [k] try_to_del_timer_sync
     0.01%     0.00%  iou-wrk-3329     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.01%  iou-wrk-3336     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3267     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.01%  iou-wrk-3285     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3281     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3268     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.00%  iou-wrk-3338     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.01%  iou-wrk-3299     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.01%  iou-wrk-3308     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.01%  iou-wrk-3302     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.01%  iou-wrk-3309     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.01%  iou-wrk-3292     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3296     [kernel.vmlinux]      [k] security_file_permission
     0.01%     0.00%  iou-wrk-3280     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.01%  iou-wrk-3330     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.00%  iou-wrk-3320     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.01%  iou-wrk-3286     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.01%  iou-wrk-3267     [kernel.vmlinux]      [k] xas_create
     0.01%     0.00%  iou-wrk-3329     [kernel.vmlinux]      [k] security_file_permission
     0.01%     0.00%  iou-wrk-3326     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3281     [kernel.vmlinux]      [k] load_new_mm_cr3
     0.01%     0.00%  iou-wrk-3335     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.00%  iou-wrk-3340     [kernel.vmlinux]      [k] io_dismantle_req
     0.01%     0.00%  iou-wrk-3318     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.01%  iou-wrk-3341     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.00%  iou-wrk-3299     [kernel.vmlinux]      [k] sched_clock_cpu
     0.01%     0.01%  iou-wrk-3331     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.01%  iou-wrk-3316     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.01%  iou-wrk-3329     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.01%  fio              [kernel.vmlinux]      [k] syscall_return_via_sysret
     0.01%     0.00%  iou-wrk-3263     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3318     [kernel.vmlinux]      [k] xas_create
     0.01%     0.00%  iou-wrk-3339     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.00%  swapper          [kernel.vmlinux]      [k] cpumask_next_and
     0.01%     0.00%  iou-wrk-3267     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.00%  iou-wrk-3340     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.01%  iou-wrk-3320     [kernel.vmlinux]      [k] xas_create
     0.01%     0.00%  iou-wrk-3330     [kernel.vmlinux]      [k] io_dismantle_req
     0.01%     0.00%  iou-wrk-3328     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3307     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.01%  iou-wrk-3342     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.00%  iou-wrk-3284     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.00%  iou-wrk-3308     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.00%  iou-wrk-3289     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.01%  iou-wrk-3271     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.01%  iou-wrk-3295     [kernel.vmlinux]      [k] __update_load_avg_cfs_rq
     0.01%     0.00%  iou-wrk-3278     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.00%  iou-wrk-3289     [kernel.vmlinux]      [k] update_rq_clock
     0.01%     0.01%  iou-wrk-3293     [kernel.vmlinux]      [k] security_file_permission
     0.01%     0.00%  iou-wrk-3276     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.01%  iou-wrk-3305     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.00%  iou-wrk-3299     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.01%  iou-wrk-3277     [kernel.vmlinux]      [k] __update_load_avg_cfs_rq
     0.01%     0.00%  iou-wrk-3307     [kernel.vmlinux]      [k] try_to_del_timer_sync
     0.01%     0.00%  iou-wrk-3318     [kernel.vmlinux]      [k] io_dismantle_req
     0.01%     0.00%  iou-wrk-3323     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.00%  iou-wrk-3276     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3325     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.01%  iou-wrk-3315     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3324     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.00%  iou-wrk-3265     [kernel.vmlinux]      [k] __pagevec_lru_add
     0.01%     0.01%  iou-wrk-3341     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3344     [kernel.vmlinux]      [k] io_dismantle_req
     0.01%     0.01%  iou-wrk-3299     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.00%  iou-wrk-3292     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.01%  iou-wrk-3304     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.01%  iou-wrk-3316     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.01%  iou-wrk-3300     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.01%  iou-wrk-3299     [kernel.vmlinux]      [k] load_new_mm_cr3
     0.01%     0.00%  iou-wrk-3266     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.00%  iou-wrk-3262     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.00%  iou-wrk-3313     [kernel.vmlinux]      [k] __pagevec_lru_add
     0.01%     0.01%  iou-wrk-3339     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.01%  iou-wrk-3270     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.00%  iou-wrk-3297     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3302     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3272     [kernel.vmlinux]      [k] switch_mm_irqs_off
     0.01%     0.00%  iou-wrk-3316     [kernel.vmlinux]      [k] try_to_del_timer_sync
     0.01%     0.00%  iou-wrk-3291     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.00%  fio              [kernel.vmlinux]      [k] dequeue_task_fair
     0.01%     0.01%  iou-wrk-3306     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3318     [kernel.vmlinux]      [k] try_to_del_timer_sync
     0.01%     0.01%  iou-wrk-3337     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.01%  iou-wrk-3322     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.01%  iou-wrk-3287     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.01%  iou-wrk-3301     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.00%  iou-wrk-3268     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.00%  iou-wrk-3320     [kernel.vmlinux]      [k] try_to_del_timer_sync
     0.01%     0.00%  iou-wrk-3278     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.01%  iou-wrk-3302     [kernel.vmlinux]      [k] __update_load_avg_cfs_rq
     0.01%     0.00%  iou-wrk-3319     [kernel.vmlinux]      [k] io_dismantle_req
     0.01%     0.01%  iou-wrk-3324     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3326     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.00%  iou-wrk-3262     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3284     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3289     [kernel.vmlinux]      [k] sched_clock_cpu
     0.01%     0.00%  iou-wrk-3302     [kernel.vmlinux]      [k] io_dismantle_req
     0.01%     0.01%  iou-wrk-3273     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.01%  iou-wrk-3268     [kernel.vmlinux]      [k] __update_load_avg_cfs_rq
     0.01%     0.00%  iou-wrk-3319     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3292     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.00%  iou-wrk-3316     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3288     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.00%  iou-wrk-3301     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3331     [kernel.vmlinux]      [k] load_new_mm_cr3
     0.01%     0.01%  iou-wrk-3302     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.00%  iou-wrk-3286     [kernel.vmlinux]      [k] try_to_del_timer_sync
     0.01%     0.00%  iou-wrk-3293     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.01%  iou-wrk-3271     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.01%  iou-wrk-3281     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.00%  iou-wrk-3337     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.00%  iou-wrk-3284     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.01%  iou-wrk-3340     [kernel.vmlinux]      [k] xas_create
     0.01%     0.01%  iou-wrk-3294     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.01%  iou-wrk-3328     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3301     [kernel.vmlinux]      [k] try_to_del_timer_sync
     0.01%     0.00%  iou-wrk-3319     [kernel.vmlinux]      [k] try_to_del_timer_sync
     0.01%     0.01%  iou-wrk-3266     [kernel.vmlinux]      [k] security_file_permission
     0.01%     0.01%  iou-wrk-3279     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3304     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.01%  iou-wrk-3300     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.00%  iou-wrk-3296     [kernel.vmlinux]      [k] io_dismantle_req
     0.01%     0.00%  iou-wrk-3338     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.00%  iou-wrk-3311     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.00%  fio              [kernel.vmlinux]      [k] irq_exit_rcu
     0.01%     0.00%  iou-wrk-3306     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3315     [kernel.vmlinux]      [k] __update_load_avg_cfs_rq
     0.01%     0.01%  iou-wrk-3272     [kernel.vmlinux]      [k] __switch_to_asm
     0.01%     0.00%  iou-wrk-3263     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.01%  iou-wrk-3274     [kernel.vmlinux]      [k] __update_load_avg_cfs_rq
     0.01%     0.01%  iou-wrk-3293     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3293     [kernel.vmlinux]      [k] __pagevec_lru_add
     0.01%     0.01%  iou-wrk-3343     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3339     [kernel.vmlinux]      [k] del_timer_sync
     0.01%     0.00%  iou-wrk-3322     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.01%  iou-wrk-3281     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3280     [kernel.vmlinux]      [k] __pagevec_lru_add
     0.01%     0.00%  iou-wrk-3320     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.01%  iou-wrk-3319     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.00%  iou-wrk-3281     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.01%  iou-wrk-3337     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.01%  iou-wrk-3314     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.00%  iou-wrk-3310     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.00%  iou-wrk-3266     [kernel.vmlinux]      [k] ext4_map_blocks
     0.01%     0.00%  iou-wrk-3291     [kernel.vmlinux]      [k] try_to_del_timer_sync
     0.01%     0.00%  iou-wrk-3341     [kernel.vmlinux]      [k] __pagevec_lru_add
     0.01%     0.00%  iou-wrk-3304     [kernel.vmlinux]      [k] io_dismantle_req
     0.01%     0.01%  iou-wrk-3276     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.00%  iou-wrk-3315     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.00%  iou-wrk-3313     [kernel.vmlinux]      [k] try_to_del_timer_sync
     0.01%     0.00%  iou-wrk-3342     [kernel.vmlinux]      [k] io_dismantle_req
     0.01%     0.00%  iou-wrk-3291     [kernel.vmlinux]      [k] __pagevec_lru_add
     0.01%     0.00%  iou-wrk-3295     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3324     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.00%  iou-wrk-3302     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.01%  iou-wrk-3325     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3276     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.00%  iou-wrk-3298     [kernel.vmlinux]      [k] psi_memstall_enter
     0.01%     0.01%  iou-wrk-3265     [kernel.vmlinux]      [k] __update_load_avg_cfs_rq
     0.01%     0.01%  iou-wrk-3270     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3335     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.00%  iou-wrk-3322     [kernel.vmlinux]      [k] __pagevec_lru_add
     0.01%     0.01%  iou-wrk-3333     [kernel.vmlinux]      [k] security_file_permission
     0.01%     0.01%  iou-wrk-3302     [kernel.vmlinux]      [k] update_rq_clock
     0.01%     0.00%  iou-wrk-3267     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.01%  iou-wrk-3289     [kernel.vmlinux]      [k] security_file_permission
     0.01%     0.00%  iou-wrk-3337     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3308     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3313     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.00%  iou-wrk-3274     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.01%  iou-wrk-3291     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3294     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3282     [kernel.vmlinux]      [k] security_file_permission
     0.01%     0.00%  iou-wrk-3295     [kernel.vmlinux]      [k] try_to_del_timer_sync
     0.01%     0.00%  iou-wrk-3267     [kernel.vmlinux]      [k] io_dismantle_req
     0.01%     0.00%  iou-wrk-3264     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3336     [kernel.vmlinux]      [k] load_new_mm_cr3
     0.01%     0.01%  iou-wrk-3281     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.01%  iou-wrk-3269     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.00%  iou-wrk-3306     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.00%  iou-wrk-3294     [kernel.vmlinux]      [k] io_assign_current_work
     0.01%     0.01%  iou-wrk-3277     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.00%  iou-wrk-3288     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.00%  iou-wrk-3280     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.00%  iou-wrk-3268     [kernel.vmlinux]      [k] try_to_del_timer_sync
     0.01%     0.01%  iou-wrk-3342     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3325     [kernel.vmlinux]      [k] __pagevec_lru_add
     0.01%     0.00%  iou-wrk-3311     [kernel.vmlinux]      [k] try_to_del_timer_sync
     0.01%     0.01%  iou-wrk-3340     [kernel.vmlinux]      [k] __update_load_avg_cfs_rq
     0.01%     0.01%  iou-wrk-3282     [kernel.vmlinux]      [k] __update_load_avg_cfs_rq
     0.01%     0.00%  iou-wrk-3328     [kernel.vmlinux]      [k] io_dismantle_req
     0.01%     0.00%  iou-wrk-3333     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3310     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.01%  iou-wrk-3331     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.00%  iou-wrk-3321     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.00%  iou-wrk-3269     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.01%  iou-wrk-3343     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.01%  iou-wrk-3338     [kernel.vmlinux]      [k] io_req_complete_post
     0.01%     0.01%  iou-wrk-3308     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.01%  iou-wrk-3301     [kernel.vmlinux]      [k] load_new_mm_cr3
     0.01%     0.00%  iou-wrk-3322     [kernel.vmlinux]      [k] io_dismantle_req
     0.01%     0.00%  iou-wrk-3324     [kernel.vmlinux]      [k] update_rq_clock
     0.01%     0.00%  iou-wrk-3303     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.00%  iou-wrk-3263     [kernel.vmlinux]      [k] ext4_map_blocks
     0.01%     0.00%  iou-wrk-3292     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.00%  iou-wrk-3298     [kernel.vmlinux]      [k] touch_atime
     0.01%     0.01%  iou-wrk-3304     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.01%  iou-wrk-3340     [kernel.vmlinux]      [k] native_sched_clock
     0.01%     0.00%  iou-wrk-3338     [kernel.vmlinux]      [k] try_to_del_timer_sync
     0.01%     0.00%  iou-wrk-3302     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.01%  iou-wrk-3285     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.01%  iou-wrk-3340     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3338     [kernel.vmlinux]      [k] update_rq_clock
     0.01%     0.00%  iou-wrk-3329     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.00%  iou-wrk-3343     [kernel.vmlinux]      [k] io_assign_current_work
     0.01%     0.01%  iou-wrk-3264     [kernel.vmlinux]      [k] __switch_to
     0.01%     0.00%  iou-wrk-3312     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.00%  iou-wrk-3295     [kernel.vmlinux]      [k] security_file_permission
     0.01%     0.00%  iou-wrk-3285     [kernel.vmlinux]      [k] raw_spin_rq_lock_nested.constprop.0
     0.01%     0.01%  iou-wrk-3287     [kernel.vmlinux]      [k] __update_load_avg_se
     0.01%     0.00%  iou-wrk-3332     [kernel.vmlinux]      [k] try_to_del_timer_sync
     0.01%     0.00%  iou-wrk-3269     [kernel.vmlinux]      [k] io_dismantle_req
     0.01%     0.01%  iou-wrk-3314     [kernel.vmlinux]      [k] __update_load_avg_cfs_rq
     0.01%     0.00%  iou-wrk-3296     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.00%  iou-wrk-3262     [kernel.vmlinux]      [k] ext4_map_blocks
     0.01%     0.00%  iou-wrk-3306     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.00%  iou-wrk-3310     [kernel.vmlinux]      [k] lru_cache_add
     0.01%     0.00%  iou-wrk-3325     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.00%  iou-wrk-3339     [kernel.vmlinux]      [k] get_page_from_freelist
     0.01%     0.00%  iou-wrk-3329     [kernel.vmlinux]      [k] try_to_del_timer_sync
